Code,Area,Year,Housing Category,Value,Rank
E09000001,City of London,2010,Own Outright,,
E09000002,Barking and Dagenham,2010,Own Outright,25300,1.0
E09000003,Barnet,2010,Own Outright,87600,2.0
E09000004,Bexley,2010,Own Outright,62800,3.0
E09000005,Brent,2010,Own Outright,58000,1.0
E09000006,Bromley,2010,Own Outright,72800,3.0
E09000007,Camden,2010,Own Outright,37200,1.0
E09000008,Croydon,2010,Own Outright,60700,2.0
E09000009,Ealing,2010,Own Outright,72300,2.0
E09000010,Enfield,2010,Own Outright,62500,2.0
E09000011,Greenwich,2010,Own Outright,32900,1.0
E09000012,Hackney,2010,Own Outright,24800,1.0
E09000013,Hammersmith and Fulham,2010,Own Outright,31900,1.0
E09000014,Haringey,2010,Own Outright,34900,1.0
E09000015,Harrow,2010,Own Outright,54700,2.0
E09000016,Havering,2010,Own Outright,73000,3.0
E09000017,Hillingdon,2010,Own Outright,43500,1.0
E09000018,Hounslow,2010,Own Outright,43900,1.0
E09000019,Islington,2010,Own Outright,24000,1.0
E09000020,Kensington and Chelsea,2010,Own Outright,37200,2.0
E09000021,Kingston upon Thames,2010,Own Outright,41900,3.0
E09000022,Lambeth,2010,Own Outright,41600,1.0
E09000023,Lewisham,2010,Own Outright,36100,1.0
E09000024,Merton,2010,Own Outright,37400,2.0
E09000025,Newham,2010,Own Outright,36000,1.0
E09000026,Redbridge,2010,Own Outright,65100,3.0
E09000027,Richmond upon Thames,2010,Own Outright,42900,3.0
E09000028,Southwark,2010,Own Outright,21800,1.0
E09000029,Sutton,2010,Own Outright,37600,3.0
E09000030,Tower Hamlets,2010,Own Outright,20000,1.0
E09000031,Waltham Forest,2010,Own Outright,45000,1.0
E09000032,Wandsworth,2010,Own Outright,49800,1.0
E09000033,Westminster,2010,Own Outright,31400,2.0
E09000001,City of London,2011,Own Outright,,
E09000002,Barking and Dagenham,2011,Own Outright,24600,1.0
E09000003,Barnet,2011,Own Outright,76600,2.0
E09000004,Bexley,2011,Own Outright,70400,3.0
E09000005,Brent,2011,Own Outright,48500,1.0
E09000006,Bromley,2011,Own Outright,86400,3.0
E09000007,Camden,2011,Own Outright,34100,1.0
E09000008,Croydon,2011,Own Outright,66800,1.0
E09000009,Ealing,2011,Own Outright,58800,1.0
E09000010,Enfield,2011,Own Outright,68000,2.0
E09000011,Greenwich,2011,Own Outright,37700,1.0
E09000012,Hackney,2011,Own Outright,23000,1.0
E09000013,Hammersmith and Fulham,2011,Own Outright,30000,1.0
E09000014,Haringey,2011,Own Outright,40700,1.0
E09000015,Harrow,2011,Own Outright,48600,2.0
E09000016,Havering,2011,Own Outright,74100,3.0
E09000017,Hillingdon,2011,Own Outright,54000,2.0
E09000018,Hounslow,2011,Own Outright,49300,2.0
E09000019,Islington,2011,Own Outright,24000,1.0
E09000020,Kensington and Chelsea,2011,Own Outright,37700,2.0
E09000021,Kingston upon Thames,2011,Own Outright,37800,2.0
E09000022,Lambeth,2011,Own Outright,30200,1.0
E09000023,Lewisham,2011,Own Outright,32900,1.0
E09000024,Merton,2011,Own Outright,34000,2.0
E09000025,Newham,2011,Own Outright,30900,1.0
E09000026,Redbridge,2011,Own Outright,58400,2.0
E09000027,Richmond upon Thames,2011,Own Outright,47800,2.0
E09000028,Southwark,2011,Own Outright,28000,1.0
E09000029,Sutton,2011,Own Outright,35700,2.0
E09000030,Tower Hamlets,2011,Own Outright,13900,1.0
E09000031,Waltham Forest,2011,Own Outright,43700,1.0
E09000032,Wandsworth,2011,Own Outright,51900,1.0
E09000033,Westminster,2011,Own Outright,31200,1.0
E09000001,City of London,2012,Own Outright,,
E09000002,Barking and Dagenham,2012,Own Outright,26800,1.0
E09000003,Barnet,2012,Own Outright,76900,2.0
E09000004,Bexley,2012,Own Outright,66100,3.0
E09000005,Brent,2012,Own Outright,55900,1.0
E09000006,Bromley,2012,Own Outright,86700,3.0
E09000007,Camden,2012,Own Outright,40600,2.0
E09000008,Croydon,2012,Own Outright,84700,3.0
E09000009,Ealing,2012,Own Outright,61300,2.0
E09000010,Enfield,2012,Own Outright,68200,2.0
E09000011,Greenwich,2012,Own Outright,44300,1.0
E09000012,Hackney,2012,Own Outright,28800,1.0
E09000013,Hammersmith and Fulham,2012,Own Outright,33500,1.0
E09000014,Haringey,2012,Own Outright,42400,1.0
E09000015,Harrow,2012,Own Outright,52400,2.0
E09000016,Havering,2012,Own Outright,81400,3.0
E09000017,Hillingdon,2012,Own Outright,71100,3.0
E09000018,Hounslow,2012,Own Outright,51500,2.0
E09000019,Islington,2012,Own Outright,27800,1.0
E09000020,Kensington and Chelsea,2012,Own Outright,35400,2.0
E09000021,Kingston upon Thames,2012,Own Outright,37100,2.0
E09000022,Lambeth,2012,Own Outright,29500,1.0
E09000023,Lewisham,2012,Own Outright,39300,1.0
E09000024,Merton,2012,Own Outright,36700,2.0
E09000025,Newham,2012,Own Outright,33300,1.0
E09000026,Redbridge,2012,Own Outright,59900,2.0
E09000027,Richmond upon Thames,2012,Own Outright,46900,3.0
E09000028,Southwark,2012,Own Outright,34500,1.0
E09000029,Sutton,2012,Own Outright,42200,3.0
E09000030,Tower Hamlets,2012,Own Outright,17500,1.0
E09000031,Waltham Forest,2012,Own Outright,38500,1.0
E09000032,Wandsworth,2012,Own Outright,56000,2.0
E09000033,Westminster,2012,Own Outright,36600,2.0
E09000001,City of London,2013,Own Outright,,
E09000002,Barking and Dagenham,2013,Own Outright,25300,1.0
E09000003,Barnet,2013,Own Outright,87800,2.0
E09000004,Bexley,2013,Own Outright,70300,3.0
E09000005,Brent,2013,Own Outright,56000,1.0
E09000006,Bromley,2013,Own Outright,102300,3.0
E09000007,Camden,2013,Own Outright,38800,2.0
E09000008,Croydon,2013,Own Outright,81900,3.0
E09000009,Ealing,2013,Own Outright,63700,2.0
E09000010,Enfield,2013,Own Outright,73700,2.0
E09000011,Greenwich,2013,Own Outright,32800,1.0
E09000012,Hackney,2013,Own Outright,29900,1.0
E09000013,Hammersmith and Fulham,2013,Own Outright,26900,1.0
E09000014,Haringey,2013,Own Outright,37300,1.0
E09000015,Harrow,2013,Own Outright,62400,2.0
E09000016,Havering,2013,Own Outright,65100,3.0
E09000017,Hillingdon,2013,Own Outright,63100,3.0
E09000018,Hounslow,2013,Own Outright,51300,2.0
E09000019,Islington,2013,Own Outright,28800,1.0
E09000020,Kensington and Chelsea,2013,Own Outright,30300,2.0
E09000021,Kingston upon Thames,2013,Own Outright,39000,3.0
E09000022,Lambeth,2013,Own Outright,34200,1.0
E09000023,Lewisham,2013,Own Outright,30700,1.0
E09000024,Merton,2013,Own Outright,44400,2.0
E09000025,Newham,2013,Own Outright,36300,1.0
E09000026,Redbridge,2013,Own Outright,59900,2.0
E09000027,Richmond upon Thames,2013,Own Outright,47100,3.0
E09000028,Southwark,2013,Own Outright,26400,1.0
E09000029,Sutton,2013,Own Outright,42100,3.0
E09000030,Tower Hamlets,2013,Own Outright,17300,1.0
E09000031,Waltham Forest,2013,Own Outright,39700,1.0
E09000032,Wandsworth,2013,Own Outright,59400,1.0
E09000033,Westminster,2013,Own Outright,33200,2.0
E09000001,City of London,2014,Own Outright,,
E09000002,Barking and Dagenham,2014,Own Outright,26400,1.0
E09000003,Barnet,2014,Own Outright,88400,2.0
E09000004,Bexley,2014,Own Outright,72900,3.0
E09000005,Brent,2014,Own Outright,62400,2.0
E09000006,Bromley,2014,Own Outright,102200,3.0
E09000007,Camden,2014,Own Outright,40500,2.0
E09000008,Croydon,2014,Own Outright,97200,3.0
E09000009,Ealing,2014,Own Outright,57200,2.0
E09000010,Enfield,2014,Own Outright,67100,2.0
E09000011,Greenwich,2014,Own Outright,40000,1.0
E09000012,Hackney,2014,Own Outright,27300,1.0
E09000013,Hammersmith and Fulham,2014,Own Outright,30100,1.0
E09000014,Haringey,2014,Own Outright,43800,1.0
E09000015,Harrow,2014,Own Outright,69100,2.0
E09000016,Havering,2014,Own Outright,71100,3.0
E09000017,Hillingdon,2014,Own Outright,52800,2.0
E09000018,Hounslow,2014,Own Outright,58500,2.0
E09000019,Islington,2014,Own Outright,28700,1.0
E09000020,Kensington and Chelsea,2014,Own Outright,36900,2.0
E09000021,Kingston upon Thames,2014,Own Outright,38500,3.0
E09000022,Lambeth,2014,Own Outright,30000,1.0
E09000023,Lewisham,2014,Own Outright,38800,1.0
E09000024,Merton,2014,Own Outright,36700,2.0
E09000025,Newham,2014,Own Outright,31300,1.0
E09000026,Redbridge,2014,Own Outright,64200,2.0
E09000027,Richmond upon Thames,2014,Own Outright,52100,3.0
E09000028,Southwark,2014,Own Outright,28400,1.0
E09000029,Sutton,2014,Own Outright,45300,3.0
E09000030,Tower Hamlets,2014,Own Outright,13600,1.0
E09000031,Waltham Forest,2014,Own Outright,56500,2.0
E09000032,Wandsworth,2014,Own Outright,53900,1.0
E09000033,Westminster,2014,Own Outright,33600,2.0
E09000001,City of London,2015,Own Outright,,
E09000002,Barking and Dagenham,2015,Own Outright,32600,1.0
E09000003,Barnet,2015,Own Outright,89600,2.0
E09000004,Bexley,2015,Own Outright,78800,3.0
E09000005,Brent,2015,Own Outright,48100,1.0
E09000006,Bromley,2015,Own Outright,80400,3.0
E09000007,Camden,2015,Own Outright,45300,2.0
E09000008,Croydon,2015,Own Outright,84700,3.0
E09000009,Ealing,2015,Own Outright,65500,2.0
E09000010,Enfield,2015,Own Outright,63500,1.0
E09000011,Greenwich,2015,Own Outright,37800,1.0
E09000012,Hackney,2015,Own Outright,23500,1.0
E09000013,Hammersmith and Fulham,2015,Own Outright,26000,1.0
E09000014,Haringey,2015,Own Outright,39400,1.0
E09000015,Harrow,2015,Own Outright,73900,3.0
E09000016,Havering,2015,Own Outright,72200,3.0
E09000017,Hillingdon,2015,Own Outright,55900,1.0
E09000018,Hounslow,2015,Own Outright,51300,2.0
E09000019,Islington,2015,Own Outright,23500,1.0
E09000020,Kensington and Chelsea,2015,Own Outright,30100,2.0
E09000021,Kingston upon Thames,2015,Own Outright,37500,3.0
E09000022,Lambeth,2015,Own Outright,30800,1.0
E09000023,Lewisham,2015,Own Outright,43400,1.0
E09000024,Merton,2015,Own Outright,43400,2.0
E09000025,Newham,2015,Own Outright,32800,1.0
E09000026,Redbridge,2015,Own Outright,76400,2.0
E09000027,Richmond upon Thames,2015,Own Outright,48900,3.0
E09000028,Southwark,2015,Own Outright,25300,1.0
E09000029,Sutton,2015,Own Outright,45300,3.0
E09000030,Tower Hamlets,2015,Own Outright,17700,1.0
E09000031,Waltham Forest,2015,Own Outright,57700,2.0
E09000032,Wandsworth,2015,Own Outright,50000,2.0
E09000033,Westminster,2015,Own Outright,34600,2.0
E09000001,City of London,2016,Own Outright,,
E09000002,Barking and Dagenham,2016,Own Outright,31000,1.0
E09000003,Barnet,2016,Own Outright,98600,2.0
E09000004,Bexley,2016,Own Outright,69600,3.0
E09000005,Brent,2016,Own Outright,42300,1.0
E09000006,Bromley,2016,Own Outright,86400,3.0
E09000007,Camden,2016,Own Outright,41300,1.0
E09000008,Croydon,2016,Own Outright,78000,3.0
E09000009,Ealing,2016,Own Outright,66700,2.0
E09000010,Enfield,2016,Own Outright,63200,1.0
E09000011,Greenwich,2016,Own Outright,32200,1.0
E09000012,Hackney,2016,Own Outright,22300,1.0
E09000013,Hammersmith and Fulham,2016,Own Outright,28800,1.0
E09000014,Haringey,2016,Own Outright,47500,1.0
E09000015,Harrow,2016,Own Outright,57800,2.0
E09000016,Havering,2016,Own Outright,87500,3.0
E09000017,Hillingdon,2016,Own Outright,56400,2.0
E09000018,Hounslow,2016,Own Outright,46400,1.0
E09000019,Islington,2016,Own Outright,30100,1.0
E09000020,Kensington and Chelsea,2016,Own Outright,32200,2.0
E09000021,Kingston upon Thames,2016,Own Outright,40800,2.0
E09000022,Lambeth,2016,Own Outright,40600,1.0
E09000023,Lewisham,2016,Own Outright,42600,1.0
E09000024,Merton,2016,Own Outright,53700,3.0
E09000025,Newham,2016,Own Outright,43500,1.0
E09000026,Redbridge,2016,Own Outright,68400,2.0
E09000027,Richmond upon Thames,2016,Own Outright,47800,3.0
E09000028,Southwark,2016,Own Outright,35000,1.0
E09000029,Sutton,2016,Own Outright,44400,3.0
E09000030,Tower Hamlets,2016,Own Outright,21700,1.0
E09000031,Waltham Forest,2016,Own Outright,49700,2.0
E09000032,Wandsworth,2016,Own Outright,47800,2.0
E09000033,Westminster,2016,Own Outright,36500,2.0
E09000001,City of London,2017,Own Outright,,
E09000002,Barking and Dagenham,2017,Own Outright,29800,1.0
E09000003,Barnet,2017,Own Outright,96300,2.0
E09000004,Bexley,2017,Own Outright,73600,3.0
E09000005,Brent,2017,Own Outright,49500,1.0
E09000006,Bromley,2017,Own Outright,84300,3.0
E09000007,Camden,2017,Own Outright,49700,2.0
E09000008,Croydon,2017,Own Outright,62300,2.0
E09000009,Ealing,2017,Own Outright,90200,2.0
E09000010,Enfield,2017,Own Outright,78400,2.0
E09000011,Greenwich,2017,Own Outright,40000,1.0
E09000012,Hackney,2017,Own Outright,35300,1.0
E09000013,Hammersmith and Fulham,2017,Own Outright,36400,1.0
E09000014,Haringey,2017,Own Outright,45700,1.0
E09000015,Harrow,2017,Own Outright,61200,2.0
E09000016,Havering,2017,Own Outright,81200,3.0
E09000017,Hillingdon,2017,Own Outright,58400,2.0
E09000018,Hounslow,2017,Own Outright,48900,1.0
E09000019,Islington,2017,Own Outright,38000,1.0
E09000020,Kensington and Chelsea,2017,Own Outright,29500,2.0
E09000021,Kingston upon Thames,2017,Own Outright,42900,3.0
E09000022,Lambeth,2017,Own Outright,56400,1.0
E09000023,Lewisham,2017,Own Outright,36000,1.0
E09000024,Merton,2017,Own Outright,49500,3.0
E09000025,Newham,2017,Own Outright,51800,1.0
E09000026,Redbridge,2017,Own Outright,70300,2.0
E09000027,Richmond upon Thames,2017,Own Outright,58500,3.0
E09000028,Southwark,2017,Own Outright,36300,1.0
E09000029,Sutton,2017,Own Outright,59300,3.0
E09000030,Tower Hamlets,2017,Own Outright,32300,1.0
E09000031,Waltham Forest,2017,Own Outright,44100,1.0
E09000032,Wandsworth,2017,Own Outright,51400,2.0
E09000033,Westminster,2017,Own Outright,37800,2.0
E09000001,City of London,2018,Own Outright,,
E09000002,Barking and Dagenham,2018,Own Outright,35300,1.0
E09000003,Barnet,2018,Own Outright,98300,3.0
E09000004,Bexley,2018,Own Outright,70900,3.0
E09000005,Brent,2018,Own Outright,56900,1.0
E09000006,Bromley,2018,Own Outright,79600,3.0
E09000007,Camden,2018,Own Outright,53000,2.0
E09000008,Croydon,2018,Own Outright,69600,1.0
E09000009,Ealing,2018,Own Outright,87300,3.0
E09000010,Enfield,2018,Own Outright,84200,2.0
E09000011,Greenwich,2018,Own Outright,53700,2.0
E09000012,Hackney,2018,Own Outright,35600,1.0
E09000013,Hammersmith and Fulham,2018,Own Outright,28500,1.0
E09000014,Haringey,2018,Own Outright,56300,2.0
E09000015,Harrow,2018,Own Outright,62600,2.0
E09000016,Havering,2018,Own Outright,72900,3.0
E09000017,Hillingdon,2018,Own Outright,55400,1.0
E09000018,Hounslow,2018,Own Outright,53600,1.0
E09000019,Islington,2018,Own Outright,46300,2.0
E09000020,Kensington and Chelsea,2018,Own Outright,36100,2.0
E09000021,Kingston upon Thames,2018,Own Outright,44600,2.0
E09000022,Lambeth,2018,Own Outright,40300,1.0
E09000023,Lewisham,2018,Own Outright,35100,1.0
E09000024,Merton,2018,Own Outright,49800,2.0
E09000025,Newham,2018,Own Outright,68200,1.0
E09000026,Redbridge,2018,Own Outright,69500,2.0
E09000027,Richmond upon Thames,2018,Own Outright,57500,3.0
E09000028,Southwark,2018,Own Outright,41800,1.0
E09000029,Sutton,2018,Own Outright,55100,3.0
E09000030,Tower Hamlets,2018,Own Outright,40500,1.0
E09000031,Waltham Forest,2018,Own Outright,55300,3.0
E09000032,Wandsworth,2018,Own Outright,53800,2.0
E09000033,Westminster,2018,Own Outright,52600,2.0
E09000001,City of London,2019,Own Outright,,
E09000002,Barking and Dagenham,2019,Own Outright,31800,1.0
E09000003,Barnet,2019,Own Outright,100900,2.0
E09000004,Bexley,2019,Own Outright,68600,3.0
E09000005,Brent,2019,Own Outright,67900,1.0
E09000006,Bromley,2019,Own Outright,89600,3.0
E09000007,Camden,2019,Own Outright,51500,2.0
E09000008,Croydon,2019,Own Outright,71700,1.0
E09000009,Ealing,2019,Own Outright,71900,2.0
E09000010,Enfield,2019,Own Outright,64600,1.0
E09000011,Greenwich,2019,Own Outright,51200,1.0
E09000012,Hackney,2019,Own Outright,29800,1.0
E09000013,Hammersmith and Fulham,2019,Own Outright,34200,1.0
E09000014,Haringey,2019,Own Outright,59500,1.0
E09000015,Harrow,2019,Own Outright,72400,2.0
E09000016,Havering,2019,Own Outright,74400,3.0
E09000017,Hillingdon,2019,Own Outright,58700,2.0
E09000018,Hounslow,2019,Own Outright,61400,2.0
E09000019,Islington,2019,Own Outright,41300,1.0
E09000020,Kensington and Chelsea,2019,Own Outright,37400,2.0
E09000021,Kingston upon Thames,2019,Own Outright,49500,3.0
E09000022,Lambeth,2019,Own Outright,32300,1.0
E09000023,Lewisham,2019,Own Outright,41100,1.0
E09000024,Merton,2019,Own Outright,44900,2.0
E09000025,Newham,2019,Own Outright,50800,1.0
E09000026,Redbridge,2019,Own Outright,69000,2.0
E09000027,Richmond upon Thames,2019,Own Outright,53200,3.0
E09000028,Southwark,2019,Own Outright,42200,1.0
E09000029,Sutton,2019,Own Outright,57900,3.0
E09000030,Tower Hamlets,2019,Own Outright,28900,1.0
E09000031,Waltham Forest,2019,Own Outright,57000,2.0
E09000032,Wandsworth,2019,Own Outright,67300,2.0
E09000033,Westminster,2019,Own Outright,43400,2.0
E09000001,City of London,2020,Own Outright,,
E09000002,Barking and Dagenham,2020,Own Outright,28000,1.0
E09000003,Barnet,2020,Own Outright,100400,2.0
E09000004,Bexley,2020,Own Outright,63800,3.0
E09000005,Brent,2020,Own Outright,77000,3.0
E09000006,Bromley,2020,Own Outright,92600,3.0
E09000007,Camden,2020,Own Outright,43400,1.0
E09000008,Croydon,2020,Own Outright,87400,2.0
E09000009,Ealing,2020,Own Outright,82800,2.0
E09000010,Enfield,2020,Own Outright,83000,3.0
E09000011,Greenwich,2020,Own Outright,47800,1.0
E09000012,Hackney,2020,Own Outright,22800,1.0
E09000013,Hammersmith and Fulham,2020,Own Outright,31700,1.0
E09000014,Haringey,2020,Own Outright,53600,1.0
E09000015,Harrow,2020,Own Outright,80800,3.0
E09000016,Havering,2020,Own Outright,68700,3.0
E09000017,Hillingdon,2020,Own Outright,80300,3.0
E09000018,Hounslow,2020,Own Outright,44200,1.0
E09000019,Islington,2020,Own Outright,53200,3.0
E09000020,Kensington and Chelsea,2020,Own Outright,43500,3.0
E09000021,Kingston upon Thames,2020,Own Outright,39400,3.0
E09000022,Lambeth,2020,Own Outright,41800,1.0
E09000023,Lewisham,2020,Own Outright,48700,1.0
E09000024,Merton,2020,Own Outright,51700,2.0
E09000025,Newham,2020,Own Outright,39000,1.0
E09000026,Redbridge,2020,Own Outright,86500,2.0
E09000027,Richmond upon Thames,2020,Own Outright,60200,3.0
E09000028,Southwark,2020,Own Outright,29900,1.0
E09000029,Sutton,2020,Own Outright,49900,3.0
E09000030,Tower Hamlets,2020,Own Outright,21100,1.0
E09000031,Waltham Forest,2020,Own Outright,54900,2.0
E09000032,Wandsworth,2020,Own Outright,56900,2.0
E09000033,Westminster,2020,Own Outright,58400,2.0
E09000001,City of London,2010,Buying with mortgage,,
E09000002,Barking and Dagenham,2010,Buying with mortgage,64300,4.0
E09000003,Barnet,2010,Buying with mortgage,127000,4.0
E09000004,Bexley,2010,Buying with mortgage,104300,4.0
E09000005,Brent,2010,Buying with mortgage,69500,2.0
E09000006,Bromley,2010,Buying with mortgage,147200,4.0
E09000007,Camden,2010,Buying with mortgage,38400,2.0
E09000008,Croydon,2010,Buying with mortgage,166000,4.0
E09000009,Ealing,2010,Buying with mortgage,113500,4.0
E09000010,Enfield,2010,Buying with mortgage,114600,4.0
E09000011,Greenwich,2010,Buying with mortgage,80100,3.0
E09000012,Hackney,2010,Buying with mortgage,60200,3.0
E09000013,Hammersmith and Fulham,2010,Buying with mortgage,40800,2.0
E09000014,Haringey,2010,Buying with mortgage,75600,3.0
E09000015,Harrow,2010,Buying with mortgage,92100,4.0
E09000016,Havering,2010,Buying with mortgage,105600,4.0
E09000017,Hillingdon,2010,Buying with mortgage,118700,4.0
E09000018,Hounslow,2010,Buying with mortgage,72300,3.0
E09000019,Islington,2010,Buying with mortgage,44400,2.0
E09000020,Kensington and Chelsea,2010,Buying with mortgage,26900,1.0
E09000021,Kingston upon Thames,2010,Buying with mortgage,60600,4.0
E09000022,Lambeth,2010,Buying with mortgage,87900,3.0
E09000023,Lewisham,2010,Buying with mortgage,82900,3.0
E09000024,Merton,2010,Buying with mortgage,79600,4.0
E09000025,Newham,2010,Buying with mortgage,71400,2.0
E09000026,Redbridge,2010,Buying with mortgage,115700,4.0
E09000027,Richmond upon Thames,2010,Buying with mortgage,79500,4.0
E09000028,Southwark,2010,Buying with mortgage,74700,3.0
E09000029,Sutton,2010,Buying with mortgage,98900,4.0
E09000030,Tower Hamlets,2010,Buying with mortgage,39500,2.0
E09000031,Waltham Forest,2010,Buying with mortgage,75700,4.0
E09000032,Wandsworth,2010,Buying with mortgage,93700,3.0
E09000033,Westminster,2010,Buying with mortgage,27900,1.0
E09000001,City of London,2011,Buying with mortgage,,
E09000002,Barking and Dagenham,2011,Buying with mortgage,52900,3.0
E09000003,Barnet,2011,Buying with mortgage,129000,4.0
E09000004,Bexley,2011,Buying with mortgage,94900,4.0
E09000005,Brent,2011,Buying with mortgage,79800,3.0
E09000006,Bromley,2011,Buying with mortgage,144400,4.0
E09000007,Camden,2011,Buying with mortgage,36600,2.0
E09000008,Croydon,2011,Buying with mortgage,151500,4.0
E09000009,Ealing,2011,Buying with mortgage,117100,4.0
E09000010,Enfield,2011,Buying with mortgage,116200,4.0
E09000011,Greenwich,2011,Buying with mortgage,77000,3.0
E09000012,Hackney,2011,Buying with mortgage,50900,2.0
E09000013,Hammersmith and Fulham,2011,Buying with mortgage,39300,2.0
E09000014,Haringey,2011,Buying with mortgage,81500,4.0
E09000015,Harrow,2011,Buying with mortgage,96100,4.0
E09000016,Havering,2011,Buying with mortgage,101600,4.0
E09000017,Hillingdon,2011,Buying with mortgage,117300,4.0
E09000018,Hounslow,2011,Buying with mortgage,83700,4.0
E09000019,Islington,2011,Buying with mortgage,44900,2.0
E09000020,Kensington and Chelsea,2011,Buying with mortgage,21800,1.0
E09000021,Kingston upon Thames,2011,Buying with mortgage,51100,4.0
E09000022,Lambeth,2011,Buying with mortgage,87200,3.0
E09000023,Lewisham,2011,Buying with mortgage,94600,4.0
E09000024,Merton,2011,Buying with mortgage,81700,4.0
E09000025,Newham,2011,Buying with mortgage,68200,2.0
E09000026,Redbridge,2011,Buying with mortgage,109400,4.0
E09000027,Richmond upon Thames,2011,Buying with mortgage,72200,4.0
E09000028,Southwark,2011,Buying with mortgage,57700,2.0
E09000029,Sutton,2011,Buying with mortgage,95100,4.0
E09000030,Tower Hamlets,2011,Buying with mortgage,39800,2.0
E09000031,Waltham Forest,2011,Buying with mortgage,85600,4.0
E09000032,Wandsworth,2011,Buying with mortgage,96600,3.0
E09000033,Westminster,2011,Buying with mortgage,34300,2.0
E09000001,City of London,2012,Buying with mortgage,,
E09000002,Barking and Dagenham,2012,Buying with mortgage,59100,3.0
E09000003,Barnet,2012,Buying with mortgage,127600,4.0
E09000004,Bexley,2012,Buying with mortgage,107800,4.0
E09000005,Brent,2012,Buying with mortgage,78900,3.0
E09000006,Bromley,2012,Buying with mortgage,154100,4.0
E09000007,Camden,2012,Buying with mortgage,36700,1.0
E09000008,Croydon,2012,Buying with mortgage,166400,4.0
E09000009,Ealing,2012,Buying with mortgage,114100,4.0
E09000010,Enfield,2012,Buying with mortgage,112400,4.0
E09000011,Greenwich,2012,Buying with mortgage,74500,3.0
E09000012,Hackney,2012,Buying with mortgage,60300,3.0
E09000013,Hammersmith and Fulham,2012,Buying with mortgage,41800,2.0
E09000014,Haringey,2012,Buying with mortgage,66200,2.0
E09000015,Harrow,2012,Buying with mortgage,89800,4.0
E09000016,Havering,2012,Buying with mortgage,100500,4.0
E09000017,Hillingdon,2012,Buying with mortgage,90200,4.0
E09000018,Hounslow,2012,Buying with mortgage,93100,4.0
E09000019,Islington,2012,Buying with mortgage,36800,2.0
E09000020,Kensington and Chelsea,2012,Buying with mortgage,27600,1.0
E09000021,Kingston upon Thames,2012,Buying with mortgage,59300,4.0
E09000022,Lambeth,2012,Buying with mortgage,84500,3.0
E09000023,Lewisham,2012,Buying with mortgage,96600,4.0
E09000024,Merton,2012,Buying with mortgage,85300,4.0
E09000025,Newham,2012,Buying with mortgage,66600,2.0
E09000026,Redbridge,2012,Buying with mortgage,130300,4.0
E09000027,Richmond upon Thames,2012,Buying with mortgage,86300,4.0
E09000028,Southwark,2012,Buying with mortgage,73000,3.0
E09000029,Sutton,2012,Buying with mortgage,97900,4.0
E09000030,Tower Hamlets,2012,Buying with mortgage,43800,2.0
E09000031,Waltham Forest,2012,Buying with mortgage,97600,4.0
